track,model,population,n_units,n_test,prevalence,roc_auc,roc_auc_sd_units,ap,brier,ece,precision,recall_sensitivity,specificity,f1,threshold_rule,grid
bridge12_A,RF_v2agg,forest,1,2905.0,0.6523235800344234,0.9549026881579978,,0.9763525238966364,0.0797444230509645,0.0207206843700396,0.9213903743315508,0.9092348284960422,0.8544554455445544,0.9152722443559096,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_cdr7_f0,all,1,7196.0,0.4031406336853808,0.9171530510734728,,0.8889436869505153,0.1133462939035667,0.0949309239945144,0.8160489629377763,0.827300930713547,0.8740395809080326,0.8216364258815474,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_cdr7_f0,forest,1,4310.0,0.671461716937355,0.8826748991679648,,0.922833453927824,0.1392386166341641,0.096954299825669,0.8082639714625446,0.9395300621976505,0.5444915254237288,0.8689677213167146,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_cdr7_f1,all,1,7857.0,0.3305332824233168,0.9250416903973728,,0.86034574342932,0.0971899412294012,0.0548797695564541,0.687909469922573,0.889487870619946,0.8007604562737642,0.7758186397984886,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_cdr7_f1,forest,1,4921.0,0.5267222109327373,0.8866799254170444,,0.8799418919811449,0.1363859598726709,0.0601220946800696,0.707310026004045,0.9444444444444444,0.5650493774151997,0.8088551131670246,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_cdr7_f2,all,1,7489.0,0.4891173721458138,0.9138169676591004,,0.8769163252188081,0.1133389747809584,0.0858436505241171,0.8760191172336238,0.8506688506688507,0.8847360167276529,0.8631578947368421,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_cdr7_f2,forest,1,5110.0,0.7158512720156556,0.8372400128327361,,0.8904705899700678,0.1433368566650614,0.106274935526777,0.8525558695093758,0.9073264078731548,0.6046831955922864,0.8790888624023309,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_v2agg_f0,all,1,7196.0,0.4031406336853808,0.9557463425361332,,0.9455704224485229,0.0782774490611726,0.0462499817578437,0.8984034833091437,0.853498793519476,0.9348079161816064,0.8753756407990101,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_v2agg_f0,forest,1,4310.0,0.671461716937355,0.9193157038329838,,0.9592609235909132,0.1075860595752885,0.0325639786540138,0.9119705340699816,0.8555632342778162,0.8312146892655368,0.8828668211802462,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_v2agg_f1,all,1,7857.0,0.3305332824233168,0.9419859636228406,,0.8963410431142079,0.0843067621747717,0.0304895466996888,0.8304248861911988,0.842895648825568,0.915019011406844,0.8366137970571375,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_v2agg_f1,forest,1,4921.0,0.5267222109327373,0.9052738153926074,,0.908959616902393,0.1260626566199967,0.0650366567079587,0.837734404898584,0.8445216049382716,0.8179476170030056,0.8411143131604226,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_v2agg_f2,all,1,7489.0,0.4891173721458138,0.9491000052944644,,0.9523913036166144,0.0853660061126592,0.0314742584315317,0.8425809691187547,0.9161889161889162,0.8361212754835338,0.8778446246403349,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,LogReg_v2agg_f2,forest,1,5110.0,0.7158512720156556,0.909514336666531,,0.96183339274417,0.1089217762699355,0.0340939549423103,0.8453228578443408,0.9412247129579004,0.5661157024793388,0.8906997801060665,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_cdr7_f0,all,1,7196.0,0.4031406336853808,0.95969837384965,,0.9487315999636168,0.0972667624787745,0.1007847813003659,0.9108554996405464,0.8734918993450534,0.9422584400465658,0.8917825092380786,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_cdr7_f0,forest,1,4310.0,0.671461716937355,0.9297599455721756,,0.9618231672707374,0.1598291145724991,0.1715517488453689,0.8888513513513514,0.9091223220456116,0.7676553672316384,0.8988725657669969,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_cdr7_f1,all,1,7857.0,0.3305332824233168,0.9443936847283572,,0.9026595899658616,0.1032365955668603,0.1007779697709246,0.7851071064263856,0.889102810935695,0.8798479087452471,0.8338750451426508,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_cdr7_f1,forest,1,4921.0,0.5267222109327373,0.911989743518386,,0.9149605703486274,0.1637523299618783,0.1631961118233865,0.8118846694796061,0.8908179012345679,0.7702876771146415,0.8495217071376012,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_cdr7_f2,all,1,7489.0,0.4891173721458138,0.9461910824953166,,0.947800412210062,0.1455491929909025,0.1582524818195881,0.8958275766786405,0.885066885066885,0.9014636696288552,0.8904147212304312,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_cdr7_f2,forest,1,5110.0,0.7158512720156556,0.908658915061445,,0.9586354458678116,0.2122173562857457,0.2331843264948576,0.909652076318743,0.88627665390924,0.778236914600551,0.8978122403766271,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_v2agg_f0,all,1,7196.0,0.4031406336853808,0.963514608386414,,0.9493192883011936,0.0644147918032032,0.039916873772277,0.9281788200806156,0.8731471906239228,0.9543655413271246,0.8998223801065719,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_v2agg_f0,forest,1,4310.0,0.671461716937355,0.9345876574951488,,0.9602704208776672,0.1010488397200744,0.0820169932787642,0.9351410773176988,0.8818244644091223,0.875,0.9077005157389294,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_v2agg_f1,all,1,7857.0,0.3305332824233168,0.9447749377389236,,0.8798958450697699,0.0895866580133465,0.072036140574483,0.8563334682314853,0.8147862918752407,0.932509505703422,0.835043409629045,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_v2agg_f1,forest,1,4921.0,0.5267222109327373,0.9047376013124904,,0.8916719660878801,0.1387927871712763,0.1186011922385344,0.8027187173231091,0.8885030864197531,0.7569772434521254,0.8434352682658853,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_v2agg_f2,all,1,7489.0,0.4891173721458138,0.9433437024916376,,0.9361436654338317,0.0912737845405534,0.0673172840363406,0.8731681321609379,0.8946218946218947,0.8755880815473079,0.883764832793959,max-F1 on validation,12 km (CDR-PINO cells)
bridge12_B1,MaxEnt_v2agg_f2,forest,1,5110.0,0.7158512720156556,0.907195651780994,,0.9515538870437876,0.1182204311539755,0.0969980578929921,0.8646310432569975,0.928922908693275,0.6336088154269972,0.8956246705324196,max-F1 on validation,12 km (CDR-PINO cells)
