tag,track,config,seed,test_auc,test_ap,val_auc,best_epoch,epochs_run,train_time_sec,test_prevalence,c_adv,family,population,roc_auc,ap,train_rows,fit_sec,train_auc,n_train_presence,n_test_presence,n_background
B2_r4_full_s43,B2,full,43.0,0.5839521060604369,0.3152268309584524,0.7563748764265588,40.0,60.0,229.8356511592865,0.2615030705928802,0.5847908854484558,CDR-PINO,,,,,,,,,
B2_r5_full_s43,B2,full,43.0,0.5618892345029738,0.565867202361385,0.870506793647381,25.0,45.0,174.89556646347046,0.4850458204746246,0.5826516151428223,CDR-PINO,,,,,,,,,
B2_r0_full_s44,B2,full,44.0,0.3785232681340653,0.163163133535179,0.8083460652854404,80.0,80.0,321.4792070388794,0.1847461462020874,0.5069399476051331,CDR-PINO,,,,,,,,,
B2_r1_full_s44,B2,full,44.0,0.6253942846532712,0.5932920656124095,0.8537493409914252,25.0,45.0,180.53605151176453,0.50210040807724,0.5930513739585876,CDR-PINO,,,,,,,,,
B2_r2_full_s44,B2,full,44.0,0.4777518566936033,0.4369376573623231,0.8379374402518086,20.0,40.0,162.1006965637207,0.45579794049263,0.6047714352607727,CDR-PINO,,,,,,,,,
B2_r3_full_s44,B2,full,44.0,0.7463342696629214,0.7981616214688989,0.8229116562953287,25.0,45.0,180.36078453063965,0.666388988494873,0.5877350568771362,CDR-PINO,,,,,,,,,
B2_r4_full_s44,B2,full,44.0,0.5838495834978601,0.3506768647160605,0.7413286750909568,50.0,70.0,278.8375105857849,0.2615030705928802,0.5587993264198303,CDR-PINO,,,,,,,,,
B2_r5_full_s44,B2,full,44.0,0.5626413042085858,0.5442098816549518,0.8754430793341859,25.0,45.0,178.7090482711792,0.4850458204746246,0.5857117772102356,CDR-PINO,,,,,,,,,
B3_nophys_s42,B3,nophys,42.0,0.905093377741632,0.1562032356002245,0.9074755062221898,80.0,80.0,142.1898901462555,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3_nophys_s43,B3,nophys,43.0,0.904303314574322,0.1543875724959038,0.9066911296836468,75.0,80.0,142.48011350631714,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3_nophys_s44,B3,nophys,44.0,0.903668966325184,0.1517119819222984,0.906645988699538,80.0,80.0,142.84761667251587,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3_diff_s42,B3,diff,42.0,0.8854173707622436,0.1371595583210356,0.8888320539960404,10.0,30.0,111.74467182159424,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3_diff_s43,B3,diff,43.0,0.891989736932197,0.1411376998851665,0.8954599413285633,45.0,65.0,245.06826758384705,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3_diff_s44,B3,diff,44.0,0.879161716048418,0.1300910339578659,0.8821254382925473,5.0,25.0,95.7320294380188,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3_diffadv_s42,B3,diffadv,42.0,0.8946137717790394,0.1429434071569424,0.8975241631071309,65.0,80.0,320.1733250617981,0.0246382188051939,0.4509287178516388,CDR-PINO,,,,,,,,,
B3_diffadv_s43,B3,diffadv,43.0,0.8948200342275061,0.1424533748355516,0.8976730302820808,70.0,80.0,467.8187243938446,0.0246382188051939,0.4882574677467346,CDR-PINO,,,,,,,,,
B3_diffadv_s44,B3,diffadv,44.0,0.8929415890987706,0.139130581981717,0.8962163496041335,75.0,80.0,330.544757604599,0.0246382188051939,0.4473913013935089,CDR-PINO,,,,,,,,,
B3_full_s42,B3,full,42.0,0.8952036319473488,0.1438144793326174,0.899624021923322,65.0,80.0,325.16979217529297,0.0246382188051939,0.5166290998458862,CDR-PINO,,,,,,,,,
B3_full_s43,B3,full,43.0,0.8952581081824844,0.1418129724434998,0.8984358508099433,70.0,80.0,355.9869523048401,0.0246382188051939,0.4543647170066833,CDR-PINO,,,,,,,,,
B3_full_s44,B3,full,44.0,0.8898373466601512,0.1372509823755052,0.8924240549212586,65.0,80.0,346.9248147010803,0.0246382188051939,0.512770414352417,CDR-PINO,,,,,,,,,
B3orig_nophys_s42,B3orig,nophys,42.0,0.9051291179819642,0.1562913618483873,0.9072469046282268,80.0,80.0,143.874196767807,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3orig_nophys_s43,B3orig,nophys,43.0,0.9047277945300106,0.1556786194159949,0.9070647311994025,80.0,80.0,146.13745021820068,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3orig_nophys_s44,B3orig,nophys,44.0,0.9035631536712848,0.1518940380624231,0.9058047885979944,80.0,80.0,145.95661330223083,0.0246382188051939,0.6931471824645996,CDR-PINO,,,,,,,,,
B3orig_full_s42,B3orig,full,42.0,0.8968202251980062,0.1460332151603364,0.8996998469444859,60.0,80.0,332.92179346084595,0.0246382188051939,0.539944589138031,CDR-PINO,,,,,,,,,
B3orig_full_s43,B3orig,full,43.0,0.8962478680832142,0.14296041837192,0.9000139740861596,80.0,80.0,330.56616473197937,0.0246382188051939,0.4737401604652405,CDR-PINO,,,,,,,,,
B3orig_full_s44,B3orig,full,44.0,0.8891171912155551,0.1373527628812175,0.8925583613357319,45.0,65.0,270.6737439632416,0.0246382188051939,0.532153308391571,CDR-PINO,,,,,,,,,
MaxEnt_v2_n50000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,all,0.9634711070731344,0.6319498899158258,50000.0,149.80831861495972,,,,
MaxEnt_v2_n50000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,forest,0.852185155929126,0.6338413308307491,50000.0,149.80831861495972,,,,
MaxEnt_v2_n50000_seed43,,,43.0,,,,,,,,,MaxEnt sample-size,all,0.9641870712229876,0.637120768025689,50000.0,160.05639028549194,,,,
MaxEnt_v2_n50000_seed43,,,43.0,,,,,,,,,MaxEnt sample-size,forest,0.8559234010161846,0.6391878450428834,50000.0,160.05639028549194,,,,
MaxEnt_v2_n50000_seed44,,,44.0,,,,,,,,,MaxEnt sample-size,all,0.9643335295905472,0.6356578395604856,50000.0,151.16416692733765,,,,
MaxEnt_v2_n50000_seed44,,,44.0,,,,,,,,,MaxEnt sample-size,forest,0.85563645413542,0.6376231519030798,50000.0,151.16416692733765,,,,
MaxEnt_v2_n100000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,all,0.9659334539204972,0.6529275655009448,100000.0,517.509268283844,,,,
MaxEnt_v2_n100000_seed42,,,42.0,,,,,,,,,MaxEnt sample-size,forest,0.8615247277917302,0.6547490560619134,100000.0,517.509268283844,,,,
MaxEnt_v2_n100000_seed43,,,43.0,,,,,,,,,MaxEnt sample-size,all,0.9664001068720138,0.6542099507664052,100000.0,517.8680572509766,,,,
MaxEnt_v2_n100000_seed43,,,43.0,,,,,,,,,MaxEnt sample-size,forest,0.8635067701530594,0.6560263599811829,100000.0,517.8680572509766,,,,
MaxEnt_v2_n100000_seed44,,,44.0,,,,,,,,,MaxEnt sample-size,all,0.9665493458254502,0.6550440539643757,100000.0,486.8511550426483,,,,
MaxEnt_v2_n100000_seed44,,,44.0,,,,,,,,,MaxEnt sample-size,forest,0.8637289694044606,0.6567477230011389,100000.0,486.8511550426483,,,,
