path,sha256,size_bytes,config,embedded_test_auc,epochs,best_epoch,seed,n_params,identical_to
results\cdr_pino\unified\ckpt_B3_full_s42.pt,4de393a4266626876cf42a6c3b4146206f33e51ca2cdb81cfe5eafec8dbd6e22,8425433,full,0.8952036319473488,80,65.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B3_full_s43.pt,5f6afa9c6da4bc365348af99612157c2c60d816b3c4426d7039b45580095fdb6,8425433,full,0.8952581081824844,80,70.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B3_full_s44.pt,0af7aa83e95b60511dcef3e62dca199f9a79914b40ee13ca4954c035412f4af1,8425433,full,0.8898373466601512,80,65.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B3_nophys_s42.pt,d5e6b66fd2ea9df3f39bd91d92066b6f3a00929a9aa53d0317a199248648c7bd,8425573,nophys,0.905093377741632,80,80.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B3_nophys_s43.pt,ef352efb0ffa8268254555fae3343531a6f4a1a3e5f9ed9ab4f36c9233eaeeee,8425573,nophys,0.904303314574322,80,75.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B3_nophys_s44.pt,f36b96ebc3adb513e8651c965df23cfab242c6562f3e98f19ec7f4086cf5f61f,8425573,nophys,0.903668966325184,80,80.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B3orig_full_s42.pt,ff9fa2c3f327d42642959648fd0e2497cbdb64a5e870d219d278fbc443264f28,8425649,full,0.8968202251980062,80,60.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B3orig_full_s43.pt,bd682fd9a50154baad900aa257e8fca91359b8dd42ad251a386e0d78ae2ff9a2,8425649,full,0.8962478680832142,80,80.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B3orig_full_s44.pt,fd0fb3ad16c93fb9d4b35bcbc167c26db73538ac007b6e3795f8648bf5f79ce1,8425649,full,0.8891171912155551,65,45.0,44.0,1054613,
results\cdr_pino\unified\ckpt_B3orig_nophys_s42.pt,682d535d04d20dc5c64f4327baf73d08f20dabbb52a846035cf4a05e61ad491b,8425789,nophys,0.9051291179819642,80,80.0,42.0,1054613,
results\cdr_pino\unified\ckpt_B3orig_nophys_s43.pt,b6d71685bbc55036ae1532eb4076d7af949d99e1f689919bc76ec2a6d21483c1,8425789,nophys,0.9047277945300106,80,80.0,43.0,1054613,
results\cdr_pino\unified\ckpt_B3orig_nophys_s44.pt,c0426a2479c176ce747cdf4196527d516d35362e7f55936914f39d8bcdd5c118,8425789,nophys,0.9035631536712847,80,80.0,44.0,1054613,
