track,cdr,classical,delong_auc1,delong_auc2,delong_diff,delong_se,delong_ci95,delong_z,delong_p
B3,B3_diffadv_s43,null_climatological_frequency,0.8948200342275061,0.908355983224128,-0.0135359489966219,0.0004682416181737,"[-0.014453702568242504, -0.012618195425001328]",-28.908043350385384,9.459955062318662e-184
B3,B3_diffadv_s44,null_climatological_frequency,0.8929415890987705,0.908355983224128,-0.0154143941253575,0.0004845939603197,"[-0.016364198287584175, -0.014464589963130825]",-31.80888617593826,4.8780610864945315e-222
B3,B3_full_s42,null_climatological_frequency,0.8952036319473489,0.908355983224128,-0.0131523512767791,0.0004601674716186,"[-0.014054279521151724, -0.0122504230324066]",-28.5816623033248,1.1356947173987464e-179
B3,B3_full_s43,null_climatological_frequency,0.8952581081824844,0.908355983224128,-0.0130978750416436,0.000463134137516,"[-0.014005617951175008, -0.01219013213211222]",-28.28095357404017,5.92738132227946e-176
B3,B3_full_s44,null_climatological_frequency,0.8898373466601512,0.908355983224128,-0.0185186365639767,0.0005237772100746,"[-0.019545239895723196, -0.017492033232230378]",-35.35594181605523,8.125021992118971e-274
B3,B3orig_nophys_s42,null_climatological_frequency,0.9051291179819642,0.908355983224128,-0.0032268652421638,0.000337127785058,"[-0.0038876357008776584, -0.002566094783450077]",-9.57163836735727,1.0522477074984417e-21
B3,B3orig_nophys_s43,null_climatological_frequency,0.9047277945300106,0.908355983224128,-0.0036281886941174,0.0003394063929646,"[-0.004293425224328159, -0.0029629521639066543]",-10.689806583858548,1.1360764855618891e-26
B3,B3orig_nophys_s44,null_climatological_frequency,0.9035631536712848,0.908355983224128,-0.0047928295528433,0.0003566848725043,"[-0.0054919319029519105, -0.00409372720273474]",-13.437153976258044,3.662539170204967e-41
B3,B3orig_full_s42,null_climatological_frequency,0.8968202251980062,0.908355983224128,-0.0115357580261218,0.0004460907272662,"[-0.012410095851563673, -0.010661420200679995]",-25.859667823215798,1.8942689519567648e-147
B3,B3orig_full_s43,null_climatological_frequency,0.8962478680832141,0.908355983224128,-0.0121081151409139,0.0004479307451652,"[-0.012986059401437856, -0.011230170880389988]",-27.031221392151608,6.35084054753068e-161
